sentinel_id,thermal_sources,mgrs_tile,scene_date,cloud_cover
S2A_MSIL2A_20260628T051241_N0512_R019_T44QKD_20260628T101512,15,T44QKD,2026-06-28,24.42
S2B_MSIL2A_20260620T053639_N0512_R005_T43RFQ_20260620T091923,15,T43RFQ,2026-06-20,28.34
S2C_MSIL2A_20260628T054641_N0512_R048_T42QXJ_20260628T085710,15,T42QXJ,2026-06-28,26.91
S2C_MSIL2A_20260605T053641_N0512_R005_T43REQ_20260605T101858,15,T43REQ,2026-06-05,0.0
S2B_MSIL2A_20260623T054639_N0512_R048_T42RYT_20260623T075208,14,T42RYT,2026-06-23,1.98
S2B_MSIL2A_20260711T050649_N0512_R019_T44PKV_20260711T085428,14,T44PKV,2026-07-11,21.14
S2C_MSIL2A_20260612T052641_N0512_R105_T43QDE_20260612T102118,14,T43QDE,2026-06-12,26.84
S2C_MSIL2A_20260718T054641_N0512_R048_T43RCP_20260718T085552,14,T43RCP,2026-07-18,0.06
S2B_MSIL2A_20260711T050649_N0512_R019_T44PLV_20260711T085428,14,T44PLV,2026-07-11,9.54
S2C_MSIL2A_20260602T052641_N0512_R105_T43QEC_20260602T102053,14,T43QEC,2026-06-02,1.77
S2C_MSIL2A_20260602T052641_N0512_R105_T43QDD_20260602T102053,14,T43QDD,2026-06-02,6.23
S2A_MSIL2A_20260625T050241_N0512_R119_T45RTJ_20260625T100609,14,T45RTJ,2026-06-25,0.04
S2B_MSIL2A_20260606T055629_N0512_R091_T42RVR_20260606T080123,14,T42RVR,2026-06-06,0.22
S2B_MSIL2A_20260601T050649_N0512_R019_T44QMK_20260601T085256,14,T44QMK,2026-06-01,4.2
S2C_MSIL2A_20260606T050651_N0512_R019_T44PKB_20260606T100020,14,T44PKB,2026-06-06,1.82
S2C_MSIL2A_20260606T050651_N0512_R019_T44PKC_20260606T100020,14,T44PKC,2026-06-06,13.73
S2C_MSIL2A_20260605T053641_N0512_R005_T43RDQ_20260605T101858,14,T43RDQ,2026-06-05,0.0
S2A_MSIL2A_20260624T053241_N0512_R105_T43RFQ_20260624T102111,14,T43RFQ,2026-06-24,20.09
S2C_MSIL2A_20260606T050651_N0512_R019_T44QMD_20260606T100020,14,T44QMD,2026-06-06,8.03
S2A_MSIL2A_20260625T050241_N0512_R119_T44PLA_20260625T100609,14,T44PLA,2026-06-25,6.82
S2C_MSIL2A_20260606T050651_N0512_R019_T44RNN_20260606T100718,14,T44RNN,2026-06-06,15.95
S2A_MSIL2A_20260715T050241_N0512_R119_T44PMV_20260715T100502,14,T44PMV,2026-07-15,0.84
S2C_MSIL2A_20260616T050651_N0512_R019_T44QLD_20260616T100816,14,T44QLD,2026-06-16,22.07
S2C_MSIL2A_20260807T054641_N0512_R048_T42RYV_20260807T085410,14,T42RYV,2026-08-07,24.25
S2A_MSIL2A_20260601T052241_N0512_R062_T43QEU_20260601T102012,14,T43QEU,2026-06-01,9.29
S2A_MSIL2A_20260627T054251_N0512_R005_T43SES_20260627T085509,13,T43SES,2026-06-27,20.87
S2C_MSIL2A_20260606T050651_N0512_R019_T44QMF_20260606T100020,13,T44QMF,2026-06-06,3.64
S2C_MSIL2A_20260619T051651_N0512_R062_T44RLT_20260619T101809,13,T44RLT,2026-06-19,11.2
S2C_MSIL2A_20260609T051651_N0512_R062_T43QGF_20260609T101613,13,T43QGF,2026-06-09,0.59
S2C_MSIL2A_20260613T045701_N0512_R119_T44QNJ_20260613T095409,13,T44QNJ,2026-06-13,12.13
S2C_MSIL2A_20260609T051651_N0512_R062_T44RLT_20260609T101613,13,T44RLT,2026-06-09,0.79
S2A_MSIL2A_20260605T050231_N0512_R119_T44QPE_20260605T100518,13,T44QPE,2026-06-05,17.38
S2B_MSIL2A_20260613T054639_N0512_R048_T43RCQ_20260613T075254,13,T43RCQ,2026-06-13,0.25
S2B_MSIL2A_20260613T054639_N0512_R048_T43RBQ_20260613T075254,13,T43RBQ,2026-06-13,0.0
S2B_MSIL2A_20260603T054629_N0512_R048_T43SDS_20260603T080213,13,T43SDS,2026-06-03,0.6
S2C_MSIL2A_20260625T053641_N0512_R005_T43RDP_20260625T101830,13,T43RDP,2026-06-25,1.0
S2C_MSIL2A_20260625T053641_N0512_R005_T43REP_20260625T101830,13,T43REP,2026-06-25,13.49
S2C_MSIL2A_20260602T052641_N0512_R105_T43QCA_20260602T102053,13,T43QCA,2026-06-02,12.78
S2C_MSIL2A_20260602T052641_N0512_R105_T43QCB_20260602T102053,13,T43QCB,2026-06-02,12.92
S2A_MSIL2A_20260604T053241_N0512_R105_T43QDA_20260604T090112,13,T43QDA,2026-06-04,3.7
S2C_MSIL2A_20260603T045701_N0512_R119_T44PMV_20260603T100112,13,T44PMV,2026-06-03,19.13
S2B_MSIL2A_20260718T045659_N0512_R119_T44PKR_20260718T085636,13,T44PKR,2026-07-18,6.29
S2C_MSIL2A_20260625T053641_N0512_R005_T43RCQ_20260625T101830,13,T43RCQ,2026-06-25,23.87
S2B_MSIL2A_20260607T052639_N0512_R105_T43RGP_20260607T091704,13,T43RGP,2026-06-07,6.96
S2C_MSIL2A_20260613T045701_N0512_R119_T44QNH_20260613T095409,13,T44QNH,2026-06-13,21.01
S2B_MSIL2A_20260623T054639_N0512_R048_T43SDS_20260623T075208,13,T43SDS,2026-06-23,1.86
S2C_MSIL2A_20260616T050651_N0512_R019_T44QLJ_20260616T100816,13,T44QLJ,2026-06-16,19.99
S2C_MSIL2A_20260618T054641_N0512_R048_T42RYT_20260618T085419,13,T42RYT,2026-06-18,1.04
S2C_MSIL2A_20260611T055631_N0512_R091_T42QVM_20260611T090908,13,T42QVM,2026-06-11,16.75
S2B_MSIL2A_20260601T050649_N0512_R019_T44PLU_20260601T085146,13,T44PLU,2026-06-01,14.27
S2C_MSIL2A_20260603T045701_N0512_R119_T44QPH_20260603T100112,13,T44QPH,2026-06-03,0.2
S2A_MSIL2A_20260627T054251_N0512_R005_T43RCQ_20260627T103225,12,T43RCQ,2026-06-27,0.24
S2C_MSIL2A_20260812T045701_N0512_R119_T44PLS_20260812T093911,12,T44PLS,2026-08-12,8.7
S2C_MSIL2A_20260608T054641_N0512_R048_T43RBP_20260608T085208,12,T43RBP,2026-06-08,0.0
S2C_MSIL2A_20260728T054641_N0512_R048_T43RBN_20260728T085814,12,T43RBN,2026-07-28,1.31
S2B_MSIL2A_20260620T053639_N0512_R005_T43QBF_20260620T091923,12,T43QBF,2026-06-20,25.69
S2B_MSIL2A_20260810T050649_N0512_R019_T44PLA_20260810T085431,12,T44PLA,2026-08-10,29.89
S2B_MSIL2A_20260731T050649_N0512_R019_T43PHK_20260731T085614,12,T43PHK,2026-07-31,2.18
S2B_MSIL2A_20260601T050649_N0512_R019_T44QML_20260601T085256,12,T44QML,2026-06-01,17.18
S2C_MSIL2A_20260619T051651_N0512_R062_T44QKH_20260619T101809,12,T44QKH,2026-06-19,14.15
S2B_MSIL2A_20260607T052639_N0512_R105_T43QCC_20260607T091704,12,T43QCC,2026-06-07,18.38
S2A_MSIL2A_20260628T051241_N0512_R019_T44PLV_20260628T101512,12,T44PLV,2026-06-28,1.77
S2A_MSIL2A_20260607T054251_N0512_R005_T43SFR_20260607T085916,12,T43SFR,2026-06-07,11.71
S2C_MSIL2A_20260603T045701_N0512_R119_T44QPD_20260603T100112,12,T44QPD,2026-06-03,29.06
S2C_MSIL2A_20260609T051651_N0512_R062_T44RLU_20260609T101613,12,T44RLU,2026-06-09,16.92
S2A_MSIL2A_20260601T052241_N0512_R062_T43QFB_20260601T102012,12,T43QFB,2026-06-01,5.96
S2B_MSIL2A_20260604T051649_N0512_R062_T44RKP_20260604T090048,12,T44RKP,2026-06-04,0.21
S2C_MSIL2A_20260807T054641_N0512_R048_T43RCP_20260807T085410,12,T43RCP,2026-08-07,19.37
S2C_MSIL2A_20260701T055631_N0512_R091_T42RVS_20260701T090214,12,T42RVS,2026-07-01,0.02
S2A_MSIL2A_20260605T050231_N0512_R119_T44PLU_20260605T100518,12,T44PLU,2026-06-05,2.86
S2A_MSIL2A_20260715T050241_N0512_R119_T44PLA_20260715T100502,12,T44PLA,2026-07-15,11.02
S2B_MSIL2A_20260626T055629_N0512_R091_T42RVS_20260626T080048,12,T42RVS,2026-06-26,5.14
S2B_MSIL2A_20260630T053639_N0512_R005_T43RCQ_20260630T091701,12,T43RCQ,2026-06-30,22.05
S2C_MSIL2A_20260606T050651_N0512_R019_T44PLA_20260606T100020,12,T44PLA,2026-06-06,8.4
S2B_MSIL2A_20260607T052639_N0512_R105_T44RKV_20260607T091704,12,T44RKV,2026-06-07,23.74
S2C_MSIL2A_20260608T054641_N0512_R048_T43SCU_20260608T085208,12,T43SCU,2026-06-08,5.0
S2A_MSIL2A_20260625T050241_N0512_R119_T44PLS_20260625T100609,11,T44PLS,2026-06-25,1.28
S2C_MSIL2A_20260606T050651_N0512_R019_T44RLP_20260606T100718,11,T44RLP,2026-06-06,0.02
S2A_MSIL2A_20260710T055251_N0512_R048_T43RBQ_20260710T104116,11,T43RBQ,2026-07-10,4.03
S2B_MSIL2A_20260611T050649_N0512_R019_T44QLH_20260611T085745,11,T44QLH,2026-06-11,20.45
S2B_MSIL2A_20260615T044659_N0512_R076_T45QTD_20260615T083228,11,T45QTD,2026-06-15,3.95
S2A_MSIL2A_20260627T054251_N0512_R005_T43REP_20260627T103225,11,T43REP,2026-06-27,5.47
S2B_MSIL2A_20260611T050649_N0512_R019_T44QKJ_20260611T085745,11,T44QKJ,2026-06-11,6.1
S2A_MSIL2A_20260625T050241_N0512_R119_T44PMR_20260625T100609,11,T44PMR,2026-06-25,10.17
S2C_MSIL2A_20260602T052641_N0512_R105_T43QEA_20260602T102053,11,T43QEA,2026-06-02,3.29
S2B_MSIL2A_20260827T045659_N0512_R119_T44PKR_20260827T084453,11,T44PKR,2026-08-27,19.66
S2B_MSIL2A_20260604T051649_N0512_R062_T44RKN_20260604T090048,11,T44RKN,2026-06-04,4.85
S2B_MSIL2A_20260620T053639_N0512_R005_T43QCE_20260620T091923,11,T43QCE,2026-06-20,28.06
S2B_MSIL2A_20260713T054639_N0512_R048_T43RBN_20260713T075616,11,T43RBN,2026-07-13,26.5
S2B_MSIL2A_20260725T050559_N0512_R076_T44NMN_20260725T082640,11,T44NMN,2026-07-25,21.37
S2B_MSIL2A_20260810T050649_N0512_R019_T43PHK_20260810T085431,11,T43PHK,2026-08-10,3.19
S2B_MSIL2A_20260716T055639_N0512_R091_T42RYU_20260716T075902,11,T42RYU,2026-07-16,0.48
S2B_MSIL2A_20260605T044659_N0512_R076_T44QRJ_20260605T082808,11,T44QRJ,2026-06-05,13.99
S2B_MSIL2A_20260728T045659_N0512_R119_T44PLS_20260728T104345,11,T44PLS,2026-07-28,15.05
S2C_MSIL2A_20260609T051651_N0512_R062_T44QKL_20260609T101613,11,T44QKL,2026-06-09,21.61
S2C_MSIL2A_20260619T051651_N0512_R062_T43QFB_20260619T101809,11,T43QFB,2026-06-19,7.35
S2C_MSIL2A_20260628T054641_N0512_R048_T43SCS_20260628T085710,11,T43SCS,2026-06-28,0.11
S2A_MSIL2A_20260628T051241_N0512_R019_T44PLB_20260628T101512,11,T44PLB,2026-06-28,11.64
S2C_MSIL2A_20260628T054641_N0512_R048_T43RBQ_20260628T085710,11,T43RBQ,2026-06-28,0.01
S2C_MSIL2A_20260605T053641_N0512_R005_T43RDP_20260605T101858,11,T43RDP,2026-06-05,0.0
S2B_MSIL2A_20260610T053639_N0512_R005_T43SER_20260610T091702,11,T43SER,2026-06-10,0.39
S2B_MSIL2A_20260630T053639_N0512_R005_T43RDP_20260630T091701,11,T43RDP,2026-06-30,26.06
S2B_MSIL2A_20260604T051649_N0512_R062_T43QGF_20260604T090048,11,T43QGF,2026-06-04,22.23
S2B_MSIL2A_20260810T050649_N0512_R019_T44PLV_20260810T085431,11,T44PLV,2026-08-10,15.39
S2C_MSIL2A_20260819T050601_N0512_R076_T44PNQ_20260819T091316,11,T44PNQ,2026-08-19,0.04
S2B_MSIL2A_20260624T051649_N0512_R062_T44RMS_20260624T090105,10,T44RMS,2026-06-24,7.55
S2A_MSIL2A_20260601T052241_N0512_R062_T44QKL_20260601T102012,10,T44QKL,2026-06-01,22.81
S2C_MSIL2A_20260616T050651_N0512_R019_T44QMJ_20260616T100816,10,T44QMJ,2026-06-16,20.8
S2A_MSIL2A_20260608T051241_N0512_R019_T44RNS_20260608T101613,10,T44RNS,2026-06-08,3.5
S2A_MSIL2A_20260603T060301_N0512_R091_T42RWS_20260603T092618,10,T42RWS,2026-06-03,0.32
S2B_MSIL2A_20260827T045659_N0512_R119_T44PLT_20260827T084453,10,T44PLT,2026-08-27,12.49
S2C_MSIL2A_20260602T052641_N0512_R105_T43QEF_20260602T102053,10,T43QEF,2026-06-02,16.79
S2C_MSIL2A_20260603T045701_N0512_R119_T44PLV_20260603T100112,10,T44PLV,2026-06-03,12.49
S2B_MSIL2A_20260602T043659_N0512_R033_T45RWK_20260602T081357,10,T45RWK,2026-06-02,11.37
S2C_MSIL2A_20260611T055631_N0512_R091_T42RWS_20260611T090908,10,T42RWS,2026-06-11,0.5
S2C_MSIL2A_20260817T054631_N0512_R048_T42RYT_20260817T085418,10,T42RYT,2026-08-17,16.58
S2C_MSIL2A_20260718T054641_N0512_R048_T43RBQ_20260718T085552,10,T43RBQ,2026-07-18,4.27
S2B_MSIL2A_20260613T054639_N0512_R048_T42QWL_20260613T075254,10,T42QWL,2026-06-13,29.09
S2B_MSIL2A_20260611T050649_N0512_R019_T44QNK_20260611T085745,10,T44QNK,2026-06-11,2.13
S2A_MSIL2A_20260601T052241_N0512_R062_T43QGA_20260601T102012,10,T43QGA,2026-06-01,3.3
S2B_MSIL2A_20260706T041549_N0512_R090_T46RFR_20260706T063050,10,T46RFR,2026-07-06,23.76
S2A_MSIL2A_20260628T051241_N0512_R019_T44PLC_20260628T101512,10,T44PLC,2026-06-28,11.36
S2C_MSIL2A_20260706T050651_N0512_R019_T44PKR_20260706T100613,10,T44PKR,2026-07-06,8.99
S2B_MSIL2A_20260711T050649_N0512_R019_T43PHK_20260711T085428,10,T43PHK,2026-07-11,21.82
S2B_MSIL2A_20260607T052639_N0512_R105_T43QDB_20260607T091704,10,T43QDB,2026-06-07,9.64
S2A_MSIL2A_20260620T055251_N0512_R048_T43SCT_20260620T105812,10,T43SCT,2026-06-20,9.6
S2B_MSIL2A_20260611T050649_N0512_R019_T44QKE_20260611T085745,10,T44QKE,2026-06-11,3.15
S2C_MSIL2A_20260713T045701_N0512_R119_T44PKR_20260713T095014,10,T44PKR,2026-07-13,26.1
S2C_MSIL2A_20260603T045701_N0512_R119_T44PLB_20260603T100112,10,T44PLB,2026-06-03,12.47
S2C_MSIL2A_20260626T050651_N0512_R019_T44RMQ_20260626T100609,10,T44RMQ,2026-06-26,16.46
S2A_MSIL2A_20260607T054251_N0512_R005_T43SER_20260607T085916,10,T43SER,2026-06-07,0.24
S2A_MSIL2A_20260608T051241_N0512_R019_T44PLT_20260608T101613,10,T44PLT,2026-06-08,17.04
S2B_MSIL2A_20260601T050649_N0512_R019_T44PKR_20260601T085146,10,T44PKR,2026-06-01,11.7
S2C_MSIL2A_20260708T054641_N0512_R048_T43RCQ_20260708T085213,10,T43RCQ,2026-07-08,28.21
S2A_MSIL2A_20260627T054251_N0512_R005_T43SER_20260627T085509,9,T43SER,2026-06-27,3.08
S2C_MSIL2A_20260611T055631_N0512_R091_T42SYD_20260611T090908,9,T42SYD,2026-06-11,0.2
S2C_MSIL2A_20260718T054641_N0512_R048_T42RYT_20260718T085552,9,T42RYT,2026-07-18,1.64
S2C_MSIL2A_20260608T054641_N0512_R048_T42QXL_20260608T085208,9,T42QXL,2026-06-08,28.61
S2C_MSIL2A_20260613T045701_N0512_R119_T45RTJ_20260613T095409,9,T45RTJ,2026-06-13,9.23
S2A_MSIL2A_20260710T055251_N0512_R048_T42RYT_20260710T104116,9,T42RYT,2026-07-10,21.94
S2C_MSIL2A_20260805T050651_N0512_R019_T43PHM_20260805T101109,9,T43PHM,2026-08-05,23.64
S2A_MSIL2A_20260625T050241_N0512_R119_T44PMQ_20260625T100609,9,T44PMQ,2026-06-25,27.06
S2A_MSIL2A_20260715T050241_N0512_R119_T44PLB_20260715T100502,9,T44PLB,2026-07-15,21.4
S2B_MSIL2A_20260617T052649_N0512_R105_T43QCC_20260617T104156,9,T43QCC,2026-06-17,28.77
S2A_MSIL2A_20260605T050231_N0512_R119_T44PLV_20260605T100518,9,T44PLV,2026-06-05,4.0
S2C_MSIL2A_20260616T050651_N0512_R019_T44QMG_20260616T100816,9,T44QMG,2026-06-16,16.75
S2A_MSIL2A_20260714T053241_N0512_R105_T43QDA_20260714T102412,9,T43QDA,2026-07-14,24.26
S2B_MSIL2A_20260610T053639_N0512_R005_T43RFP_20260610T091702,9,T43RFP,2026-06-10,0.0
S2C_MSIL2A_20260616T050651_N0512_R019_T44QNJ_20260616T100816,9,T44QNJ,2026-06-16,17.9
S2A_MSIL2A_20260809T055251_N0512_R048_T42RYU_20260809T105919,9,T42RYU,2026-08-09,11.99
S2C_MSIL2A_20260606T050651_N0512_R019_T43PHL_20260606T100020,9,T43PHL,2026-06-06,15.5
S2A_MSIL2A_20260605T050231_N0512_R119_T44QNH_20260605T100518,9,T44QNH,2026-06-05,25.34
S2C_MSIL2A_20260706T050651_N0512_R019_T43PHL_20260706T100613,9,T43PHL,2026-07-06,10.66
S2C_MSIL2A_20260612T052641_N0512_R105_T43QDV_20260612T102118,9,T43QDV,2026-06-12,13.6
S2A_MSIL2A_20260628T051241_N0512_R019_T43PHL_20260628T101512,9,T43PHL,2026-06-28,17.82
S2A_MSIL2A_20260621T052241_N0512_R062_T43QEV_20260621T101812,9,T43QEV,2026-06-21,11.63
S2C_MSIL2A_20260619T051651_N0512_R062_T44RMS_20260619T101809,9,T44RMS,2026-06-19,1.9
S2C_MSIL2A_20260619T051651_N0512_R062_T43QFA_20260619T101809,9,T43QFA,2026-06-19,9.28
S2C_MSIL2A_20260618T054641_N0512_R048_T43SCS_20260618T085419,9,T43SCS,2026-06-18,1.18
S2A_MSIL2A_20260605T050231_N0512_R119_T44QPG_20260605T100518,9,T44QPG,2026-06-05,8.35
S2A_MSIL2A_20260628T051241_N0512_R019_T44PKR_20260628T101512,9,T44PKR,2026-06-28,15.75
S2C_MSIL2A_20260606T050651_N0512_R019_T44PKA_20260606T100020,9,T44PKA,2026-06-06,14.27
S2C_MSIL2A_20260606T050651_N0512_R019_T44QKE_20260606T100020,9,T44QKE,2026-06-06,16.77
S2C_MSIL2A_20260605T053641_N0512_R005_T43QBF_20260605T101858,9,T43QBF,2026-06-05,22.22
S2C_MSIL2A_20260713T045701_N0512_R119_T44PLQ_20260713T095014,9,T44PLQ,2026-07-13,26.46
S2C_MSIL2A_20260606T050651_N0512_R019_T44PMC_20260606T100020,9,T44PMC,2026-06-06,5.62
S2B_MSIL2A_20260607T052639_N0512_R105_T43QCD_20260607T091704,9,T43QCD,2026-06-07,26.13
S2B_MSIL2A_20260714T051649_N0512_R062_T43PES_20260714T090403,9,T43PES,2026-07-14,28.75
S2C_MSIL2A_20260603T045701_N0512_R119_T44PLA_20260603T100112,9,T44PLA,2026-06-03,12.43
S2B_MSIL2A_20260603T040539_N0512_R047_T46QGH_20260603T074349,9,T46QGH,2026-06-03,28.95
S2A_MSIL2A_20260607T054251_N0512_R005_T43RFP_20260607T102857,9,T43RFP,2026-06-07,1.26
S2C_MSIL2A_20260626T050651_N0512_R019_T44RMS_20260626T100609,9,T44RMS,2026-06-26,5.86
S2B_MSIL2A_20260731T050649_N0512_R019_T43PHL_20260731T085614,9,T43PHL,2026-07-31,10.03
S2C_MSIL2A_20260619T051651_N0512_R062_T44QKL_20260619T101809,9,T44QKL,2026-06-19,28.73
S2B_MSIL2A_20260728T045659_N0512_R119_T44PKS_20260728T104345,9,T44PKS,2026-07-28,15.99
S2C_MSIL2A_20260619T051651_N0512_R062_T44RKU_20260619T101809,9,T44RKU,2026-06-19,16.91
S2B_MSIL2A_20260820T050649_N0512_R019_T43PHK_20260820T085718,9,T43PHK,2026-08-20,21.06
S2C_MSIL2A_20260625T053641_N0512_R005_T43RFN_20260625T101830,9,T43RFN,2026-06-25,0.24
S2B_MSIL2A_20260604T051649_N0512_R062_T43QGC_20260604T090048,9,T43QGC,2026-06-04,1.51
S2B_MSIL2A_20260617T052649_N0512_R105_T43QEC_20260617T104156,9,T43QEC,2026-06-17,14.78
S2B_MSIL2A_20260614T051649_N0512_R062_T44RKP_20260614T091016,9,T44RKP,2026-06-14,15.09
S2C_MSIL2A_20260602T052641_N0512_R105_T43QCC_20260602T102053,9,T43QCC,2026-06-02,2.61
S2A_MSIL2A_20260604T053241_N0512_R105_T43QCE_20260604T090112,9,T43QCE,2026-06-04,7.78
S2B_MSIL2A_20260613T054639_N0512_R048_T42RYU_20260613T075254,9,T42RYU,2026-06-13,0.06
S2B_MSIL2A_20260613T054639_N0512_R048_T43SBT_20260613T075254,8,T43SBT,2026-06-13,29.22
S2C_MSIL2A_20260602T052641_N0512_R105_T43RFQ_20260602T102053,8,T43RFQ,2026-06-02,1.82
S2B_MSIL2A_20260617T052649_N0512_R105_T43QFD_20260617T104156,8,T43QFD,2026-06-17,27.65
S2B_MSIL2A_20260617T052649_N0512_R105_T43RFN_20260617T104156,8,T43RFN,2026-06-17,0.02
S2C_MSIL2A_20260821T052641_N0512_R105_T43RGM_20260821T102216,8,T43RGM,2026-08-21,21.21
S2C_MSIL2A_20260620T044701_N0512_R076_T45QUE_20260620T091811,8,T45QUE,2026-06-20,27.68
S2C_MSIL2A_20260602T052641_N0512_R105_T43QDE_20260602T102053,8,T43QDE,2026-06-02,19.17
S2C_MSIL2A_20260602T052641_N0512_R105_T43QCU_20260602T102053,8,T43QCU,2026-06-02,21.43
S2B_MSIL2A_20260617T052649_N0512_R105_T43RGM_20260617T104156,8,T43RGM,2026-06-17,0.0
S2C_MSIL2A_20260621T055631_N0512_R091_T42RWS_20260621T085315,8,T42RWS,2026-06-21,0.31
S2C_MSIL2A_20260626T050651_N0512_R019_T44RNR_20260626T100609,8,T44RNR,2026-06-26,22.14
S2A_MSIL2A_20260607T054251_N0512_R005_T43REQ_20260607T102857,8,T43REQ,2026-06-07,0.0
S2B_MSIL2A_20260815T055629_N0512_R091_T42RWR_20260815T080227,8,T42RWR,2026-08-15,8.3
S2B_MSIL2A_20260603T054629_N0512_R048_T43SCT_20260603T080213,8,T43SCT,2026-06-03,4.32
S2B_MSIL2A_20260810T050649_N0512_R019_T44QMD_20260810T085257,8,T44QMD,2026-08-10,16.71
S2B_MSIL2A_20260604T051649_N0512_R062_T44QLK_20260604T090048,8,T44QLK,2026-06-04,2.38
S2C_MSIL2A_20260625T053641_N0512_R005_T43RFP_20260625T101830,8,T43RFP,2026-06-25,0.89
S2B_MSIL2A_20260626T055629_N0512_R091_T42SYD_20260626T080600,8,T42SYD,2026-06-26,22.64
S2B_MSIL2A_20260627T052639_N0512_R105_T43RFP_20260627T091125,8,T43RFP,2026-06-27,3.4
S2C_MSIL2A_20260713T045701_N0512_R119_T44PMV_20260713T095014,8,T44PMV,2026-07-13,27.4
S2C_MSIL2A_20260616T050651_N0512_R019_T44QME_20260616T100816,8,T44QME,2026-06-16,29.2
S2A_MSIL2A_20260816T054251_N0512_R005_T43RDQ_20260816T103351,8,T43RDQ,2026-08-16,4.24
S2B_MSIL2A_20260610T053639_N0512_R005_T43RDP_20260610T091702,8,T43RDP,2026-06-10,0.0
S2B_MSIL2A_20260708T045659_N0512_R119_T44NLP_20260708T084403,8,T44NLP,2026-07-08,18.98
S2B_MSIL2A_20260608T045659_N0512_R119_T44QPH_20260608T084805,8,T44QPH,2026-06-08,23.9
S2A_MSIL2A_20260628T051241_N0512_R019_T43PHN_20260628T101512,8,T43PHN,2026-06-28,8.98
S2B_MSIL2A_20260711T050649_N0512_R019_T44PLT_20260711T085428,8,T44PLT,2026-07-11,0.26
S2A_MSIL2A_20260628T051241_N0512_R019_T43QGU_20260628T101512,8,T43QGU,2026-06-28,2.36
S2C_MSIL2A_20260606T050651_N0512_R019_T44PKT_20260606T100020,8,T44PKT,2026-06-06,26.12
S2A_MSIL2A_20260628T051241_N0512_R019_T44PKT_20260628T101512,8,T44PKT,2026-06-28,3.16
S2B_MSIL2A_20260731T050649_N0512_R019_T44PKR_20260731T085614,8,T44PKR,2026-07-31,5.15
S2C_MSIL2A_20260619T051651_N0512_R062_T43QGV_20260619T101809,8,T43QGV,2026-06-19,24.53
S2C_MSIL2A_20260619T051651_N0512_R062_T44QKG_20260619T101809,8,T44QKG,2026-06-19,22.04
S2C_MSIL2A_20260606T050651_N0512_R019_T44QLM_20260606T100718,8,T44QLM,2026-06-06,8.24
S2A_MSIL2A_20260715T050241_N0512_R119_T44PMC_20260715T100502,8,T44PMC,2026-07-15,26.85
S2C_MSIL2A_20260810T055631_N0512_R091_T42RYU_20260810T090514,8,T42RYU,2026-08-10,8.42
S2B_MSIL2A_20260617T052649_N0512_R105_T43QDB_20260617T104156,8,T43QDB,2026-06-17,5.96
S2B_MSIL2A_20260610T053639_N0512_R005_T42QYK_20260610T091702,8,T42QYK,2026-06-10,12.79
S2B_MSIL2A_20260611T050649_N0512_R019_T44QMK_20260611T085745,8,T44QMK,2026-06-11,5.52
S2C_MSIL2A_20260606T050651_N0512_R019_T44RMN_20260606T100718,8,T44RMN,2026-06-06,13.45
S2B_MSIL2A_20260610T053639_N0512_R005_T43SFR_20260610T091702,8,T43SFR,2026-06-10,3.81
S2B_MSIL2A_20260611T050649_N0512_R019_T44RLP_20260611T085745,8,T44RLP,2026-06-11,1.85
S2B_MSIL2A_20260616T055629_N0512_R091_T42RWR_20260616T080231,8,T42RWR,2026-06-16,5.58
S2B_MSIL2A_20260620T053639_N0512_R005_T42QYL_20260620T091923,8,T42QYL,2026-06-20,18.16
S2C_MSIL2A_20260728T054641_N0512_R048_T42RYU_20260728T085814,8,T42RYU,2026-07-28,5.33
S2B_MSIL2A_20260725T050559_N0512_R076_T44PNQ_20260725T082640,7,T44PNQ,2026-07-25,10.16
S2B_MSIL2A_20260716T055639_N0512_R091_T42RVR_20260716T075902,7,T42RVR,2026-07-16,0.61
S2C_MSIL2A_20260627T043701_N0512_R033_T45QWG_20260627T100110,7,T45QWG,2026-06-27,12.73
S2C_MSIL2A_20260605T053641_N0512_R005_T43QBA_20260605T101858,7,T43QBA,2026-06-05,27.02
S2B_MSIL2A_20260613T054639_N0512_R048_T42RYT_20260613T075254,7,T42RYT,2026-06-13,0.03
S2B_MSIL2A_20260604T051649_N0512_R062_T43QFU_20260604T090429,7,T43QFU,2026-06-04,29.96
S2C_MSIL2A_20260602T052641_N0512_R105_T43QDU_20260602T102053,7,T43QDU,2026-06-02,24.42
S2B_MSIL2A_20260603T054629_N0512_R048_T42QXL_20260603T080213,7,T42QXL,2026-06-03,5.89
S2C_MSIL2A_20260602T052641_N0512_R105_T43QBA_20260602T102053,7,T43QBA,2026-06-02,26.68
S2A_MSIL2A_20260612T045231_N0512_R076_T45QUG_20260612T095610,7,T45QUG,2026-06-12,15.05
S2A_MSIL2A_20260609T044231_N0512_R033_T45RWK_20260609T095116,7,T45RWK,2026-06-09,27.29
S2B_MSIL2A_20260810T050649_N0512_R019_T44QLD_20260810T085257,7,T44QLD,2026-08-10,18.61
S2B_MSIL2A_20260603T054629_N0512_R048_T42RYU_20260603T080213,7,T42RYU,2026-06-03,0.01
S2B_MSIL2A_20260617T052649_N0512_R105_T43QDC_20260617T104156,7,T43QDC,2026-06-17,12.9
S2C_MSIL2A_20260602T052641_N0512_R105_T43QFC_20260602T102053,7,T43QFC,2026-06-02,0.44
